store_address,city,state,latitude,longitude
"2001 15th Ave W, Seattle, WA 98119, USA",Seattle,Washington,47.637197,-122.376982
"5555 E River Rd, Tucson, AZ 85750, USA",Tucson,Arizona,32.274974,-110.874356
"225 Lincoln Blvd, Venice, CA 90291, USA",,California,34.00109,-118.469837
"2941 Ygnacio Valley Rd, Walnut Creek, CA 94598, USA",Walnut Creek,California,37.925659,-122.016946
"23932 Aliso Creek Rd, Laguna Niguel, CA 92677, USA",Laguna Niguel,California,33.554368,-117.71258
"7871 Santa Monica Blvd, West Hollywood, CA 90046, USA",West Hollywood,California,34.09152,-118.360773
"1701 Wewatta St, Denver, CO 80202, USA",Denver,Colorado,39.754999,-105.001198
"7930 SW 104th St, Miami, FL 33156, USA",Miami,Florida,25.673125,-80.323453
"1400 Glades Rd, Boca Raton, FL 33431, USA",Boca Raton,Florida,26.3658,-80.113715
"3201 N Ashland Ave, Chicago, IL 60657, USA",Chicago,Illinois,41.94009,-87.668253
"215 IL-83, Elmhurst, IL 60126, USA",Elmhurst,Illinois,41.893841,-87.960394
"15 Washington St, Brighton, MA 02135, USA",Boston,Massachusetts,42.3428,-71.140375
"5600 Magazine St, New Orleans, LA 70115, USA",New Orleans,Louisiana,29.920762,-90.117661
"6610 Fairview Rd, Charlotte, NC 28210, USA",Charlotte,North Carolina,35.14723,-80.830095
"15 Washington St, Brighton, MA 02135, USA",Boston,Massachusetts,42.3428,-71.140375
"10020 Regency Cir, Omaha, NE 68114, USA",Omaha,Nebraska,41.262011,-96.068528
"633 Broad St, Newark, NJ 07102, USA",Newark,New Jersey,40.740008,-74.169992
"1425 Central Ave, Albany, NY 12205, USA",Albany,New York,42.710142,-73.816418
"2610 NE Hwy 20, Bend, OR 97701, USA",Bend,Oregon,44.056318,-121.26592
"544 700 E, Salt Lake City, UT 84102, USA",Salt Lake City,Utah,40.757846,-111.87185
"4305 Fort Jackson Blvd, Columbia, SC 29205, USA",Columbia,South Carolina,33.992666,-80.975398
"2955 Kirby Dr, Houston, TX 77098, USA",Houston,Texas,29.739406,-95.418256
"1026 NE 64th St, Seattle, WA 98115, USA",Seattle,Washington,47.675344,-122.316154
"4701 N 20th St, Phoenix, AZ 85016, USA",Phoenix,Arizona,33.506231,-112.037895
"15980 Los Gatos Blvd, Los Gatos, CA 95032, USA",Los Gatos,California,37.236096,-121.961498
"1333 Newell Ave, Walnut Creek, CA 94596, USA",Walnut Creek,California,37.892688,-122.055311
"239 N Crescent Dr, Beverly Hills, CA 90210, USA",Beverly Hills,California,34.069185,-118.398098
"650 Town Center Dr, Oxnard, CA 93036, USA",Oxnard,California,34.240049,-119.179144
"1250 S Hover Rd, Longmont, CO 80501, USA",Longmont,Colorado,40.146633,-105.128558
"2411 N Federal Hwy, Pompano Beach, FL 33064, USA",Pompano Beach,Florida,26.261326,-80.101292
"305 E Altamonte Dr, Altamonte Springs, FL 32701, USA",Altamonte Springs,Florida,28.664371,-81.381556
"7245 Lake St, River Forest, IL 60305, USA",River Forest,Illinois,41.887377,-87.806264
"750 N Martingale Rd, Schaumburg, IL 60173, USA",Schaumburg,Illinois,42.042446,-88.03674
"200 Alewife Brook Pkwy, Cambridge, MA 02138, USA",Cambridge,Massachusetts,42.389116,-71.141382
"2 Somerset St, Portland, ME 04101, USA",Portland,Maine,43.663467,-70.258461
"19607 Detroit Rd, Rocky River, OH 44116, USA",Rocky River,Ohio,41.478747,-81.83964
"45 Beacon St, Somerville, MA 02143, USA",Somerville,Massachusetts,42.376014,-71.102909
"6689 S Las Vegas Blvd, Las Vegas, NV 89119, USA",Las Vegas,Nevada,36.067608,-115.17442
"300 Bergen Town Center, Paramus, NJ 07652, USA",Paramus,New Jersey,40.914632,-74.059067
"292 Ashland Pl, Brooklyn, NY 11217, USA",,New York,40.686512,-73.978259
"12220 SW Scholls Ferry Rd, Tigard, OR 97223, USA",Tigard,Oregon,45.442458,-122.802794
